[121/200] D=0.3148 G=2.2931 (adv=1.0301, cycle=0.0904, id=0.0488, sky=0.1150)
[122/200] D=0.3145 G=2.2933 (adv=1.0219, cycle=0.0910, id=0.0493, sky=0.1151)
[123/200] D=0.3125 G=2.2836 (adv=1.0256, cycle=0.0903, id=0.0481, sky=0.1150)
[124/200] D=0.3078 G=2.2680 (adv=1.0262, cycle=0.0888, id=0.0477, sky=0.1151)
[125/200] D=0.3040 G=2.3518 (adv=1.0580, cycle=0.0934, id=0.0489, sky=0.1152)
[126/200] D=0.2947 G=2.4087 (adv=1.0946, cycle=0.0945, id=0.0507, sky=0.1153)
[127/200] D=0.3079 G=2.2756 (adv=1.0375, cycle=0.0886, id=0.0474, sky=0.1149)
[128/200] D=0.3076 G=2.2622 (adv=1.0333, cycle=0.0879, id=0.0472, sky=0.1143)
[129/200] D=0.3061 G=2.2871 (adv=1.0500, cycle=0.0884, id=0.0476, sky=0.1150)
[130/200] D=0.3018 G=2.2673 (adv=1.0485, cycle=0.0871, id=0.0467, sky=0.1147)
[131/200] D=0.3085 G=2.2709 (adv=1.0457, cycle=0.0877, id=0.0469, sky=0.1143)
[132/200] D=0.3018 G=2.2952 (adv=1.0531, cycle=0.0892, id=0.0470, sky=0.1148)
[133/200] D=0.2989 G=2.2623 (adv=1.0448, cycle=0.0871, id=0.0463, sky=0.1147)
[134/200] D=0.3077 G=2.2626 (adv=1.0472, cycle=0.0871, id=0.0461, sky=0.1145)
[135/200] D=0.3022 G=2.2776 (adv=1.0591, cycle=0.0872, id=0.0465, sky=0.1142)
[136/200] D=0.3020 G=2.2525 (adv=1.0497, cycle=0.0860, id=0.0457, sky=0.1145)
[137/200] D=0.3024 G=2.2748 (adv=1.0601, cycle=0.0869, id=0.0461, sky=0.1145)
[138/200] D=0.3014 G=2.2491 (adv=1.0485, cycle=0.0858, id=0.0456, sky=0.1143)
