[82/200] D=0.2722 G=2.8372 (adv=1.0908, cycle=0.1130, id=0.0722, sem=0.0290)
[83/200] D=0.2444 G=3.0453 (adv=1.2242, cycle=0.1184, id=0.0741, sem=0.0295)
[84/200] D=0.2416 G=3.1095 (adv=1.2679, cycle=0.1203, id=0.0736, sem=0.0297)
[85/200] D=0.2392 G=3.1925 (adv=1.3020, cycle=0.1234, id=0.0760, sem=0.0300)
[86/200] D=0.2328 G=3.1434 (adv=1.2954, cycle=0.1208, id=0.0736, sem=0.0300)
[87/200] D=0.4634 G=3.3157 (adv=1.3261, cycle=0.1301, id=0.0798, sem=0.0299)
[88/200] D=0.4072 G=2.4195 (adv=0.7517, cycle=0.1076, id=0.0696, sem=0.0288)
[89/200] D=0.3754 G=2.4923 (adv=0.8262, cycle=0.1080, id=0.0683, sem=0.0290)
[90/200] D=0.2963 G=2.7915 (adv=1.0529, cycle=0.1130, id=0.0705, sem=0.0295)
[91/200] D=0.2542 G=2.9879 (adv=1.2123, cycle=0.1159, id=0.0710, sem=0.0297)
[92/200] D=0.2404 G=3.1091 (adv=1.2786, cycle=0.1195, id=0.0734, sem=0.0299)
[93/200] D=0.2360 G=3.1359 (adv=1.2955, cycle=0.1206, id=0.0726, sem=0.0300)
[94/200] D=0.2310 G=3.1574 (adv=1.3276, cycle=0.1199, id=0.0722, sem=0.0301)
[95/200] D=0.2295 G=3.1815 (adv=1.3444, cycle=0.1204, id=0.0726, sem=0.0299)
[96/200] D=0.2248 G=3.2358 (adv=1.3516, cycle=0.1230, id=0.0755, sem=0.0304)
[97/200] D=0.2317 G=3.1288 (adv=1.3234, cycle=0.1180, id=0.0718, sem=0.0301)
[98/200] D=0.3971 G=2.9601 (adv=1.1480, cycle=0.1183, id=0.0725, sem=0.0296)
[99/200] D=0.3471 G=2.5975 (adv=0.9082, cycle=0.1100, id=0.0680, sem=0.0292)
[100/200] D=0.5885 G=3.7072 (adv=1.4217, cycle=0.1480, id=0.0962, sem=0.0291)
[101/200] D=0.2508 G=3.3172 (adv=1.1521, cycle=0.1415, id=0.0881, sem=0.0267)
[102/200] D=0.2879 G=2.8322 (adv=1.1145, cycle=0.1110, id=0.0716, sem=0.0283)
[103/200] D=0.2765 G=2.8444 (adv=1.1443, cycle=0.1095, id=0.0716, sem=0.0286)
[104/200] D=0.2562 G=2.8404 (adv=1.1646, cycle=0.1080, id=0.0701, sem=0.0288)
[105/200] D=0.2478 G=2.9026 (adv=1.1995, cycle=0.1103, id=0.0700, sem=0.0290)
[106/200] D=0.2331 G=2.9499 (adv=1.2389, cycle=0.1112, id=0.0693, sem=0.0294)
[107/200] D=0.2273 G=3.0345 (adv=1.2804, cycle=0.1145, id=0.0702, sem=0.0295)
[108/200] D=0.2251 G=3.0847 (adv=1.3242, cycle=0.1151, id=0.0700, sem=0.0298)
[109/200] D=0.2244 G=3.1374 (adv=1.3352, cycle=0.1180, id=0.0714, sem=0.0301)
[110/200] D=0.4820 G=2.8322 (adv=1.0129, cycle=0.1172, id=0.0766, sem=0.0297)
[111/200] D=0.3922 G=2.3852 (adv=0.7784, cycle=0.1040, id=0.0658, sem=0.0291)
[112/200] D=0.3517 G=2.5088 (adv=0.8864, cycle=0.1056, id=0.0650, sem=0.0296)
[113/200] D=0.2823 G=2.7492 (adv=1.0670, cycle=0.1100, id=0.0665, sem=0.0298)
[114/200] D=0.2308 G=2.9974 (adv=1.2591, cycle=0.1138, id=0.0684, sem=0.0301)
[115/200] D=0.2261 G=3.1006 (adv=1.3086, cycle=0.1179, id=0.0693, sem=0.0303)
[116/200] D=0.2194 G=3.1340 (adv=1.3553, cycle=0.1169, id=0.0692, sem=0.0303)
[117/200] D=0.2177 G=3.0941 (adv=1.3318, cycle=0.1159, id=0.0683, sem=0.0302)
[118/200] D=0.2189 G=3.0917 (adv=1.3508, cycle=0.1142, id=0.0681, sem=0.0303)
[119/200] D=0.2206 G=3.0936 (adv=1.3550, cycle=0.1142, id=0.0675, sem=0.0303)
[120/200] D=0.2201 G=3.1453 (adv=1.3636, cycle=0.1171, id=0.0692, sem=0.0305)
[121/200] D=0.2166 G=3.0749 (adv=1.3545, cycle=0.1130, id=0.0668, sem=0.0302)
[122/200] D=0.2150 G=3.0954 (adv=1.3545, cycle=0.1145, id=0.0673, sem=0.0302)
[123/200] D=0.2126 G=3.1057 (adv=1.3733, cycle=0.1139, id=0.0671, sem=0.0301)
[124/200] D=0.2139 G=3.0798 (adv=1.3524, cycle=0.1137, id=0.0666, sem=0.0303)
[125/200] D=0.2155 G=3.1119 (adv=1.3722, cycle=0.1145, id=0.0672, sem=0.0303)
[126/200] D=0.2139 G=3.0515 (adv=1.3584, cycle=0.1114, id=0.0653, sem=0.0303)
[127/200] D=0.2095 G=3.1015 (adv=1.3791, cycle=0.1134, id=0.0662, sem=0.0303)
[128/200] D=0.2120 G=3.1261 (adv=1.3786, cycle=0.1152, id=0.0671, sem=0.0304)
[129/200] D=0.2809 G=3.1056 (adv=1.3552, cycle=0.1150, id=0.0680, sem=0.0303)
[130/200] D=0.3166 G=2.5621 (adv=0.9500, cycle=0.1054, id=0.0634, sem=0.0297)
[131/200] D=0.2142 G=2.9513 (adv=1.2824, cycle=0.1096, id=0.0647, sem=0.0303)
[132/200] D=0.2118 G=3.0693 (adv=1.3500, cycle=0.1132, id=0.0661, sem=0.0304)
[133/200] D=0.2070 G=3.0402 (adv=1.3666, cycle=0.1103, id=0.0640, sem=0.0303)
[134/200] D=0.2124 G=3.0516 (adv=1.3492, cycle=0.1122, id=0.0651, sem=0.0303)
[135/200] D=0.2086 G=3.0593 (adv=1.3692, cycle=0.1112, id=0.0650, sem=0.0304)
[136/200] D=0.2076 G=3.0438 (adv=1.3581, cycle=0.1111, id=0.0643, sem=0.0303)
[137/200] D=0.2106 G=3.0760 (adv=1.3595, cycle=0.1135, id=0.0648, sem=0.0304)
[138/200] D=0.2044 G=3.0925 (adv=1.3848, cycle=0.1125, id=0.0654, sem=0.0305)
[139/200] D=0.2082 G=3.0726 (adv=1.3722, cycle=0.1125, id=0.0640, sem=0.0305)
[140/200] D=0.2029 G=3.0510 (adv=1.3897, cycle=0.1096, id=0.0632, sem=0.0304)
[141/200] D=0.1985 G=3.0249 (adv=1.3813, cycle=0.1085, id=0.0623, sem=0.0303)
[142/200] D=0.2054 G=3.1163 (adv=1.4047, cycle=0.1132, id=0.0647, sem=0.0305)
[143/200] D=0.2023 G=3.0136 (adv=1.3649, cycle=0.1089, id=0.0622, sem=0.0306)
[144/200] D=0.2042 G=3.0368 (adv=1.3765, cycle=0.1098, id=0.0624, sem=0.0304)
[145/200] D=0.2012 G=3.0306 (adv=1.3821, cycle=0.1088, id=0.0624, sem=0.0305)
[146/200] D=0.1948 G=3.0455 (adv=1.3875, cycle=0.1097, id=0.0623, sem=0.0305)
[147/200] D=0.1967 G=3.0078 (adv=1.3842, cycle=0.1072, id=0.0613, sem=0.0304)
[148/200] D=0.1999 G=3.0236 (adv=1.3924, cycle=0.1078, id=0.0614, sem=0.0305)
[149/200] D=0.1947 G=3.0617 (adv=1.4038, cycle=0.1096, id=0.0625, sem=0.0306)
[150/200] D=0.1960 G=3.0149 (adv=1.3971, cycle=0.1070, id=0.0607, sem=0.0305)
[151/200] D=0.2010 G=3.0218 (adv=1.3953, cycle=0.1074, id=0.0614, sem=0.0304)
[152/200] D=0.1944 G=2.9906 (adv=1.3851, cycle=0.1062, id=0.0602, sem=0.0304)
[153/200] D=0.1943 G=3.0044 (adv=1.3957, cycle=0.1062, id=0.0608, sem=0.0303)
[154/200] D=0.1977 G=3.0029 (adv=1.3962, cycle=0.1063, id=0.0601, sem=0.0303)
[155/200] D=0.1950 G=3.0238 (adv=1.3983, cycle=0.1076, id=0.0608, sem=0.0304)
[156/200] D=0.1944 G=2.9848 (adv=1.3841, cycle=0.1059, id=0.0600, sem=0.0303)
[157/200] D=0.1939 G=2.9704 (adv=1.3846, cycle=0.1048, id=0.0595, sem=0.0303)
[158/200] D=0.1913 G=2.9967 (adv=1.3920, cycle=0.1063, id=0.0599, sem=0.0304)
[159/200] D=0.1918 G=2.9906 (adv=1.3952, cycle=0.1056, id=0.0595, sem=0.0303)
[160/200] D=0.1937 G=2.9826 (adv=1.3857, cycle=0.1058, id=0.0593, sem=0.0305)
[161/200] D=0.1953 G=3.0057 (adv=1.3946, cycle=0.1069, id=0.0596, sem=0.0306)
[162/200] D=0.1933 G=2.9885 (adv=1.3892, cycle=0.1061, id=0.0591, sem=0.0304)
[163/200] D=0.1880 G=2.9838 (adv=1.4074, cycle=0.1045, id=0.0584, sem=0.0304)
[164/200] D=0.1894 G=2.9791 (adv=1.4024, cycle=0.1045, id=0.0584, sem=0.0304)
[165/200] D=0.1895 G=2.9711 (adv=1.4018, cycle=0.1039, id=0.0584, sem=0.0303)
[166/200] D=0.1879 G=2.9704 (adv=1.4025, cycle=0.1038, id=0.0583, sem=0.0304)
[167/200] D=0.1877 G=2.9762 (adv=1.4046, cycle=0.1041, id=0.0585, sem=0.0304)
[168/200] D=0.1885 G=2.9422 (adv=1.3905, cycle=0.1028, id=0.0575, sem=0.0304)
[169/200] D=0.1873 G=2.9629 (adv=1.4054, cycle=0.1032, id=0.0578, sem=0.0304)
[170/200] D=0.1871 G=2.9587 (adv=1.4091, cycle=0.1025, id=0.0577, sem=0.0304)
[171/200] D=0.1857 G=2.9401 (adv=1.3921, cycle=0.1025, id=0.0575, sem=0.0304)
[172/200] D=0.1870 G=2.9399 (adv=1.3927, cycle=0.1026, id=0.0572, sem=0.0303)
[173/200] D=0.1871 G=2.9389 (adv=1.4069, cycle=0.1015, id=0.0568, sem=0.0303)
[174/200] D=0.1883 G=2.9294 (adv=1.3890, cycle=0.1022, id=0.0567, sem=0.0304)
[175/200] D=0.1871 G=2.9410 (adv=1.3916, cycle=0.1028, id=0.0570, sem=0.0304)
[176/200] D=0.1899 G=2.9379 (adv=1.3989, cycle=0.1021, id=0.0567, sem=0.0304)
[177/200] D=0.1853 G=2.9264 (adv=1.3970, cycle=0.1015, id=0.0563, sem=0.0303)
[178/200] D=0.1861 G=2.9194 (adv=1.3895, cycle=0.1015, id=0.0563, sem=0.0303)
[179/200] D=0.1846 G=2.9194 (adv=1.3947, cycle=0.1012, id=0.0560, sem=0.0303)
[180/200] D=0.1857 G=2.9179 (adv=1.3949, cycle=0.1010, id=0.0560, sem=0.0303)
[181/200] D=0.1854 G=2.9193 (adv=1.3951, cycle=0.1012, id=0.0559, sem=0.0303)
[182/200] D=0.1866 G=2.9071 (adv=1.3868, cycle=0.1009, id=0.0559, sem=0.0303)
[183/200] D=0.1871 G=2.9156 (adv=1.3975, cycle=0.1008, id=0.0557, sem=0.0303)
[184/200] D=0.1847 G=2.9054 (adv=1.3901, cycle=0.1005, id=0.0558, sem=0.0303)
[185/200] D=0.1865 G=2.9091 (adv=1.3924, cycle=0.1007, id=0.0556, sem=0.0303)
[186/200] D=0.1844 G=2.9029 (adv=1.3881, cycle=0.1005, id=0.0557, sem=0.0304)
[187/200] D=0.1877 G=2.9151 (adv=1.3961, cycle=0.1008, id=0.0558, sem=0.0303)
[188/200] D=0.1858 G=2.8783 (adv=1.3708, cycle=0.1001, id=0.0553, sem=0.0304)
[189/200] D=0.1870 G=2.8922 (adv=1.3789, cycle=0.1005, id=0.0553, sem=0.0303)
[190/200] D=0.1898 G=2.8664 (adv=1.3533, cycle=0.1005, id=0.0552, sem=0.0304)
[191/200] D=0.1898 G=2.8720 (adv=1.3558, cycle=0.1007, id=0.0555, sem=0.0303)
[192/200] D=0.1913 G=2.8924 (adv=1.3527, cycle=0.1022, id=0.0565, sem=0.0304)
[193/200] D=0.1903 G=2.8721 (adv=1.3565, cycle=0.1008, id=0.0552, sem=0.0303)
[194/200] D=0.1893 G=2.8707 (adv=1.3524, cycle=0.1009, id=0.0554, sem=0.0304)
[195/200] D=0.1893 G=2.8767 (adv=1.3504, cycle=0.1014, id=0.0559, sem=0.0304)
[196/200] D=0.1902 G=2.8772 (adv=1.3442, cycle=0.1019, id=0.0559, sem=0.0305)
[197/200] D=0.1886 G=2.8705 (adv=1.3505, cycle=0.1010, id=0.0554, sem=0.0303)
[198/200] D=0.1871 G=2.8658 (adv=1.3536, cycle=0.1006, id=0.0550, sem=0.0305)
[199/200] D=0.1873 G=2.8615 (adv=1.3537, cycle=0.1003, id=0.0548, sem=0.0303)
[200/200] D=0.1865 G=2.8506 (adv=1.3381, cycle=0.1006, id=0.0551, sem=0.0303)
