[127/200] D=0.3711 G=2.0539 (adv=0.8430, cycle=0.0902, id=0.0505, sky=0.0565)
[128/200] D=0.3711 G=2.0554 (adv=0.8476, cycle=0.0899, id=0.0499, sky=0.0589)
[129/200] D=0.3671 G=2.0713 (adv=0.8496, cycle=0.0915, id=0.0499, sky=0.0572)
[130/200] D=0.3713 G=2.0702 (adv=0.8506, cycle=0.0913, id=0.0498, sky=0.0578)
[131/200] D=0.3680 G=2.0451 (adv=0.8498, cycle=0.0895, id=0.0489, sky=0.0563)
[132/200] D=0.3708 G=2.0600 (adv=0.8597, cycle=0.0899, id=0.0489, sky=0.0569)
[133/200] D=0.3718 G=2.0356 (adv=0.8465, cycle=0.0887, id=0.0487, sky=0.0582)
[134/200] D=0.3674 G=2.0379 (adv=0.8545, cycle=0.0886, id=0.0482, sky=0.0560)
[135/200] D=0.3653 G=2.0596 (adv=0.8605, cycle=0.0898, id=0.0489, sky=0.0563)
[136/200] D=0.3667 G=2.0764 (adv=0.8692, cycle=0.0904, id=0.0490, sky=0.0583)
[137/200] D=0.3672 G=2.0434 (adv=0.8531, cycle=0.0889, id=0.0487, sky=0.0580)
[138/200] D=0.3694 G=2.0419 (adv=0.8509, cycle=0.0893, id=0.0481, sky=0.0580)
[139/200] D=0.3654 G=2.0358 (adv=0.8545, cycle=0.0887, id=0.0476, sky=0.0569)
[140/200] D=0.3674 G=2.0284 (adv=0.8491, cycle=0.0884, id=0.0476, sky=0.0576)
[141/200] D=0.3691 G=2.0142 (adv=0.8493, cycle=0.0871, id=0.0472, sky=0.0575)
[142/200] D=0.3711 G=2.0233 (adv=0.8560, cycle=0.0872, id=0.0475, sky=0.0578)
[143/200] D=0.3640 G=2.0426 (adv=0.8600, cycle=0.0887, id=0.0477, sky=0.0575)
[144/200] D=0.3670 G=2.0101 (adv=0.8534, cycle=0.0866, id=0.0465, sky=0.0577)
[145/200] D=0.3701 G=2.0016 (adv=0.8448, cycle=0.0866, id=0.0465, sky=0.0580)
[146/200] D=0.3650 G=2.0288 (adv=0.8583, cycle=0.0875, id=0.0473, sky=0.0592)
[147/200] D=0.3635 G=2.0089 (adv=0.8526, cycle=0.0866, id=0.0466, sky=0.0569)
[148/200] D=0.3603 G=2.0116 (adv=0.8625, cycle=0.0860, id=0.0462, sky=0.0577)
[149/200] D=0.3628 G=2.0070 (adv=0.8572, cycle=0.0862, id=0.0460, sky=0.0583)
[150/200] D=0.3593 G=2.0171 (adv=0.8657, cycle=0.0863, id=0.0462, sky=0.0578)
[151/200] D=0.3633 G=1.9896 (adv=0.8580, cycle=0.0849, id=0.0452, sky=0.0570)
[152/200] D=0.3610 G=2.0129 (adv=0.8682, cycle=0.0856, id=0.0465, sky=0.0564)
[153/200] D=0.3581 G=1.9846 (adv=0.8542, cycle=0.0845, id=0.0454, sky=0.0583)
[154/200] D=0.3600 G=1.9952 (adv=0.8659, cycle=0.0849, id=0.0447, sky=0.0568)
[155/200] D=0.3577 G=1.9856 (adv=0.8657, cycle=0.0840, id=0.0446, sky=0.0570)
[156/200] D=0.3582 G=1.9898 (adv=0.8601, cycle=0.0847, id=0.0451, sky=0.0573)
[157/200] D=0.3565 G=1.9921 (adv=0.8715, cycle=0.0840, id=0.0448, sky=0.0561)
[158/200] D=0.3526 G=1.9898 (adv=0.8709, cycle=0.0838, id=0.0448, sky=0.0569)
[159/200] D=0.3551 G=1.9922 (adv=0.8660, cycle=0.0843, id=0.0447, sky=0.0590)
[160/200] D=0.3519 G=1.9864 (adv=0.8801, cycle=0.0828, id=0.0443, sky=0.0567)
[161/200] D=0.3529 G=1.9921 (adv=0.8740, cycle=0.0838, id=0.0447, sky=0.0566)
[162/200] D=0.3523 G=1.9872 (adv=0.8788, cycle=0.0831, id=0.0440, sky=0.0572)
[163/200] D=0.3467 G=1.9888 (adv=0.8846, cycle=0.0828, id=0.0436, sky=0.0576)
[164/200] D=0.3486 G=1.9789 (adv=0.8770, cycle=0.0825, id=0.0440, sky=0.0570)
[165/200] D=0.3492 G=1.9626 (adv=0.8751, cycle=0.0816, id=0.0430, sky=0.0564)
[166/200] D=0.3470 G=1.9710 (adv=0.8806, cycle=0.0818, id=0.0432, sky=0.0564)
[167/200] D=0.3454 G=1.9703 (adv=0.8864, cycle=0.0811, id=0.0429, sky=0.0586)
[168/200] D=0.3419 G=1.9881 (adv=0.8987, cycle=0.0818, id=0.0427, sky=0.0576)
[169/200] D=0.3471 G=1.9555 (adv=0.8848, cycle=0.0804, id=0.0421, sky=0.0565)
