[110/200] D=0.3758 G=2.5957 (adv=0.8079, cycle=0.0992, id=0.0755, sky=0.5315)
[111/200] D=0.3787 G=2.5620 (adv=0.8189, cycle=0.0981, id=0.0740, sky=0.5033)
[112/200] D=0.3739 G=2.6083 (adv=0.8200, cycle=0.0998, id=0.0749, sky=0.5282)
[113/200] D=0.3721 G=2.6103 (adv=0.8299, cycle=0.0986, id=0.0742, sky=0.5348)
[114/200] D=0.3712 G=2.6166 (adv=0.8514, cycle=0.0989, id=0.0748, sky=0.5141)
[115/200] D=0.3600 G=2.6590 (adv=0.8785, cycle=0.0990, id=0.0741, sky=0.5318)
[116/200] D=0.3620 G=2.6203 (adv=0.8725, cycle=0.0983, id=0.0734, sky=0.5084)
[117/200] D=0.3598 G=2.6524 (adv=0.8816, cycle=0.0988, id=0.0740, sky=0.5243)
[118/200] D=0.3636 G=2.6235 (adv=0.8653, cycle=0.0976, id=0.0702, sky=0.5367)
[119/200] D=0.3604 G=2.6709 (adv=0.8897, cycle=0.0997, id=0.0732, sky=0.5286)
[120/200] D=0.3591 G=2.6831 (adv=0.8904, cycle=0.1001, id=0.0750, sky=0.5288)
[121/200] D=0.4740 G=2.7277 (adv=0.9368, cycle=0.0989, id=0.0729, sky=0.5467)
[122/200] D=0.3906 G=2.5003 (adv=0.7918, cycle=0.0928, id=0.0702, sky=0.5349)
[123/200] D=0.3625 G=2.5974 (adv=0.8430, cycle=0.0971, id=0.0731, sky=0.5271)
[124/200] D=0.3525 G=2.5931 (adv=0.8691, cycle=0.0961, id=0.0719, sky=0.5115)
[125/200] D=0.3510 G=2.6159 (adv=0.8769, cycle=0.0957, id=0.0712, sky=0.5328)
[126/200] D=0.3527 G=2.6236 (adv=0.8842, cycle=0.0957, id=0.0705, sky=0.5358)
[127/200] D=0.3481 G=2.6893 (adv=0.9098, cycle=0.0995, id=0.0720, sky=0.5326)
[128/200] D=0.3561 G=2.6497 (adv=0.8620, cycle=0.1001, id=0.0760, sky=0.5211)
[129/200] D=0.3642 G=2.6497 (adv=0.8600, cycle=0.1001, id=0.0734, sky=0.5315)
[130/200] D=0.3614 G=2.6591 (adv=0.8706, cycle=0.0982, id=0.0737, sky=0.5485)
[131/200] D=0.3618 G=2.6203 (adv=0.8712, cycle=0.0963, id=0.0712, sky=0.5365)
[132/200] D=0.3612 G=2.6115 (adv=0.8689, cycle=0.0956, id=0.0707, sky=0.5391)
[133/200] D=0.3617 G=2.6170 (adv=0.8681, cycle=0.0953, id=0.0723, sky=0.5423)
[134/200] D=0.3490 G=2.6412 (adv=0.9078, cycle=0.0960, id=0.0699, sky=0.5292)
[135/200] D=0.3378 G=2.6802 (adv=0.9352, cycle=0.0988, id=0.0726, sky=0.5029)
[136/200] D=0.3367 G=2.6817 (adv=0.9266, cycle=0.0974, id=0.0717, sky=0.5307)
[137/200] D=0.3306 G=2.7200 (adv=0.9546, cycle=0.0972, id=0.0719, sky=0.5422)
[138/200] D=0.3178 G=2.7444 (adv=0.9817, cycle=0.0976, id=0.0721, sky=0.5341)
[139/200] D=0.3454 G=2.6764 (adv=0.8971, cycle=0.0991, id=0.0726, sky=0.5340)
[140/200] D=0.3529 G=2.6044 (adv=0.8877, cycle=0.0945, id=0.0691, sky=0.5300)
[141/200] D=0.3459 G=2.6146 (adv=0.9065, cycle=0.0938, id=0.0683, sky=0.5311)
[142/200] D=0.3428 G=2.6448 (adv=0.9250, cycle=0.0954, id=0.0693, sky=0.5231)
[143/200] D=0.3436 G=2.6672 (adv=0.9153, cycle=0.0967, id=0.0714, sky=0.5351)
[144/200] D=0.3415 G=2.5939 (adv=0.9145, cycle=0.0927, id=0.0676, sky=0.5155)
[145/200] D=0.3453 G=2.5884 (adv=0.9198, cycle=0.0925, id=0.0668, sky=0.5102)
[146/200] D=0.3423 G=2.5684 (adv=0.9095, cycle=0.0902, id=0.0651, sky=0.5287)
[147/200] D=0.3422 G=2.6066 (adv=0.9201, cycle=0.0931, id=0.0674, sky=0.5196)
[148/200] D=0.3449 G=2.5482 (adv=0.9053, cycle=0.0899, id=0.0653, sky=0.5154)
[149/200] D=0.3367 G=2.5898 (adv=0.9333, cycle=0.0913, id=0.0659, sky=0.5130)
[150/200] D=0.3427 G=2.5726 (adv=0.9102, cycle=0.0909, id=0.0661, sky=0.5223)
[151/200] D=0.3367 G=2.6095 (adv=0.9242, cycle=0.0917, id=0.0665, sky=0.5359)
[152/200] D=0.3409 G=2.5421 (adv=0.9137, cycle=0.0910, id=0.0666, sky=0.4849)
[153/200] D=0.3393 G=2.5947 (adv=0.9218, cycle=0.0918, id=0.0670, sky=0.5206)
[154/200] D=0.3378 G=2.5591 (adv=0.9200, cycle=0.0894, id=0.0656, sky=0.5150)
[155/200] D=0.3378 G=2.5494 (adv=0.9216, cycle=0.0890, id=0.0643, sky=0.5130)
[156/200] D=0.3380 G=2.5782 (adv=0.9283, cycle=0.0894, id=0.0656, sky=0.5268)
[157/200] D=0.3356 G=2.5816 (adv=0.9277, cycle=0.0919, id=0.0665, sky=0.5027)
[158/200] D=0.3355 G=2.5414 (adv=0.9161, cycle=0.0876, id=0.0628, sky=0.5291)
[159/200] D=0.3307 G=2.5305 (adv=0.9295, cycle=0.0878, id=0.0634, sky=0.5010)
[160/200] D=0.3341 G=2.5515 (adv=0.9396, cycle=0.0880, id=0.0630, sky=0.5111)
[161/200] D=0.3336 G=2.5611 (adv=0.9370, cycle=0.0884, id=0.0647, sky=0.5132)
[162/200] D=0.3310 G=2.5447 (adv=0.9280, cycle=0.0877, id=0.0635, sky=0.5178)
[163/200] D=0.3293 G=2.5581 (adv=0.9423, cycle=0.0872, id=0.0641, sky=0.5199)
[164/200] D=0.3278 G=2.5445 (adv=0.9474, cycle=0.0869, id=0.0634, sky=0.5057)
[165/200] D=0.3286 G=2.5256 (adv=0.9403, cycle=0.0862, id=0.0633, sky=0.5013)
[166/200] D=0.3314 G=2.5084 (adv=0.9267, cycle=0.0859, id=0.0627, sky=0.5037)
[167/200] D=0.3323 G=2.5029 (adv=0.9306, cycle=0.0856, id=0.0614, sky=0.5011)
[168/200] D=0.3272 G=2.5308 (adv=0.9403, cycle=0.0862, id=0.0629, sky=0.5086)
[169/200] D=0.3265 G=2.5081 (adv=0.9382, cycle=0.0852, id=0.0608, sky=0.5056)
[170/200] D=0.3263 G=2.5230 (adv=0.9360, cycle=0.0851, id=0.0627, sky=0.5166)
[171/200] D=0.3260 G=2.5164 (adv=0.9432, cycle=0.0858, id=0.0620, sky=0.4985)
[172/200] D=0.3225 G=2.5414 (adv=0.9489, cycle=0.0862, id=0.0629, sky=0.5101)
[173/200] D=0.3238 G=2.4953 (adv=0.9425, cycle=0.0840, id=0.0605, sky=0.5009)
[174/200] D=0.3245 G=2.4905 (adv=0.9444, cycle=0.0844, id=0.0599, sky=0.4921)
