[130/200] D=0.3379 G=2.2900 (adv=0.9514, cycle=0.0992, id=0.0657, sem=0.0182)
[131/200] D=0.3223 G=2.2622 (adv=0.9418, cycle=0.0974, id=0.0657, sem=0.0182)
[132/200] D=0.3231 G=2.3157 (adv=0.9659, cycle=0.0996, id=0.0671, sem=0.0183)
[133/200] D=0.3259 G=2.2868 (adv=0.9546, cycle=0.0985, id=0.0657, sem=0.0183)
[134/200] D=0.3284 G=2.3027 (adv=0.9663, cycle=0.0987, id=0.0663, sem=0.0182)
[135/200] D=0.3224 G=2.2823 (adv=0.9547, cycle=0.0984, id=0.0651, sem=0.0183)
[136/200] D=0.3257 G=2.2590 (adv=0.9463, cycle=0.0971, id=0.0646, sem=0.0184)
[137/200] D=0.3250 G=2.2890 (adv=0.9719, cycle=0.0977, id=0.0644, sem=0.0183)
[138/200] D=0.3254 G=2.2911 (adv=0.9612, cycle=0.0987, id=0.0649, sem=0.0185)
[139/200] D=0.3205 G=2.3275 (adv=0.9812, cycle=0.0998, id=0.0660, sem=0.0187)
[140/200] D=0.3187 G=2.2594 (adv=0.9549, cycle=0.0965, id=0.0642, sem=0.0184)
[141/200] D=0.3229 G=2.2581 (adv=0.9610, cycle=0.0962, id=0.0633, sem=0.0186)
[142/200] D=0.3232 G=2.2681 (adv=0.9654, cycle=0.0965, id=0.0637, sem=0.0185)
[143/200] D=0.3189 G=2.2721 (adv=0.9626, cycle=0.0973, id=0.0637, sem=0.0186)
[144/200] D=0.3217 G=2.2477 (adv=0.9527, cycle=0.0962, id=0.0629, sem=0.0186)
[145/200] D=0.3210 G=2.2677 (adv=0.9720, cycle=0.0963, id=0.0627, sem=0.0187)
[146/200] D=0.3133 G=2.3092 (adv=0.9904, cycle=0.0980, id=0.0640, sem=0.0188)
[147/200] D=0.3194 G=2.2573 (adv=0.9721, cycle=0.0954, id=0.0626, sem=0.0186)
[148/200] D=0.3168 G=2.2304 (adv=0.9607, cycle=0.0943, id=0.0617, sem=0.0186)
[149/200] D=0.3203 G=2.2492 (adv=0.9756, cycle=0.0948, id=0.0614, sem=0.0186)
[150/200] D=0.3159 G=2.2777 (adv=0.9792, cycle=0.0969, id=0.0622, sem=0.0187)
[151/200] D=0.3175 G=2.2406 (adv=0.9695, cycle=0.0945, id=0.0615, sem=0.0186)
[152/200] D=0.3144 G=2.2368 (adv=0.9702, cycle=0.0942, id=0.0611, sem=0.0188)
[153/200] D=0.3160 G=2.2523 (adv=0.9789, cycle=0.0949, id=0.0612, sem=0.0187)
[154/200] D=0.3148 G=2.2271 (adv=0.9716, cycle=0.0934, id=0.0606, sem=0.0186)
[155/200] D=0.3154 G=2.2543 (adv=0.9770, cycle=0.0950, id=0.0617, sem=0.0187)
[156/200] D=0.3158 G=2.2297 (adv=0.9693, cycle=0.0938, id=0.0608, sem=0.0187)
[157/200] D=0.3137 G=2.2283 (adv=0.9758, cycle=0.0933, id=0.0602, sem=0.0187)
[158/200] D=0.3165 G=2.2249 (adv=0.9739, cycle=0.0932, id=0.0600, sem=0.0187)
[159/200] D=0.3149 G=2.2211 (adv=0.9702, cycle=0.0932, id=0.0601, sem=0.0188)
[160/200] D=0.3154 G=2.2128 (adv=0.9685, cycle=0.0926, id=0.0599, sem=0.0186)
[161/200] D=0.3154 G=2.2237 (adv=0.9742, cycle=0.0932, id=0.0598, sem=0.0188)
[162/200] D=0.3136 G=2.2210 (adv=0.9791, cycle=0.0927, id=0.0592, sem=0.0188)
[163/200] D=0.3113 G=2.2087 (adv=0.9725, cycle=0.0923, id=0.0590, sem=0.0188)
[164/200] D=0.3137 G=2.2043 (adv=0.9637, cycle=0.0926, id=0.0591, sem=0.0187)
[165/200] D=0.3143 G=2.2019 (adv=0.9773, cycle=0.0912, id=0.0587, sem=0.0187)
[166/200] D=0.3136 G=2.2038 (adv=0.9679, cycle=0.0923, id=0.0587, sem=0.0188)
[167/200] D=0.3136 G=2.1826 (adv=0.9659, cycle=0.0907, id=0.0583, sem=0.0187)
